sample_name	metric	marker	niche	a	b	slope_a	geodiversity_a	slope_b	geodiversity_b	withinamong	distance
809	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3025	O1	Homogenous	O3	Homogenous	within Homogenous	0.7025197183284295
810	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3026	O1	Homogenous	O3	Homogenous	within Homogenous	0.4893621377742596
811	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3028	O1	Homogenous	O3	Homogenous	within Homogenous	0.7660690442546908
812	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3029	O1	Homogenous	O3	Homogenous	within Homogenous	0.6832211611059126
813	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3036	O1	Homogenous	H1	Heterogenous	among geodiversity	0.6743125714726489
814	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3037	O1	Homogenous	H1	Heterogenous	among geodiversity	0.777689410942332
815	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3038	O1	Homogenous	H1	Heterogenous	among geodiversity	0.7598520525679283
816	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3039	O1	Homogenous	H1	Heterogenous	among geodiversity	0.6630803675098663
817	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3045	O1	Homogenous	H2	Heterogenous	among geodiversity	0.7564968269012678
818	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3046	O1	Homogenous	H2	Heterogenous	among geodiversity	0.6386661034576696
819	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3047	O1	Homogenous	H2	Heterogenous	among geodiversity	0.6777599711334457
820	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3049	O1	Homogenous	H2	Heterogenous	among geodiversity	0.6762525054699223
821	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3055	O1	Homogenous	H3	Heterogenous	among geodiversity	0.5790272546511681
822	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3056	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6138975051038962
823	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3057	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6684319873238681
824	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3058	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6984025220535872
825	unweighted	ITS1	Intershrub	ITS-AS3009	ITS-AS3059	O1	Homogenous	H3	Heterogenous	among geodiversity	0.6821146725331787
826	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3020	O2	Homogenous	O3	Homogenous	within Homogenous	0.5778465905360274
827	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3021	O2	Homogenous	O3	Homogenous	within Homogenous	0.7310954515440345
828	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3022	O2	Homogenous	O3	Homogenous	within Homogenous	0.7305399757906331
829	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3023	O2	Homogenous	O3	Homogenous	within Homogenous	0.7451087719547277
830	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3031	O2	Homogenous	H1	Heterogenous	among geodiversity	0.6756788788946007
831	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3032	O2	Homogenous	H1	Heterogenous	among geodiversity	0.7323759850588621
832	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3033	O2	Homogenous	H1	Heterogenous	among geodiversity	0.6828893299899821
833	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3034	O2	Homogenous	H1	Heterogenous	among geodiversity	0.6129748000965863
834	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3040	O2	Homogenous	H2	Heterogenous	among geodiversity	0.641047138375464
835	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3041	O2	Homogenous	H2	Heterogenous	among geodiversity	0.6034668281099574
836	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3042	O2	Homogenous	H2	Heterogenous	among geodiversity	0.6637933072403749
837	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3044	O2	Homogenous	H2	Heterogenous	among geodiversity	0.7165688534179216
838	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3050	O2	Homogenous	H3	Heterogenous	among geodiversity	0.811157338686127
839	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3051	O2	Homogenous	H3	Heterogenous	among geodiversity	0.6875309627665984
840	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3052	O2	Homogenous	H3	Heterogenous	among geodiversity	0.7185038255276259
841	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3053	O2	Homogenous	H3	Heterogenous	among geodiversity	0.6140337392824966
842	unweighted	ITS1	Shrub	ITS-AS3010	ITS-AS3054	O2	Homogenous	H3	Heterogenous	among geodiversity	0.6774673840376415
843	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3020	O2	Homogenous	O3	Homogenous	within Homogenous	0.7189327570169166
844	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3021	O2	Homogenous	O3	Homogenous	within Homogenous	0.7458141688748203
845	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3022	O2	Homogenous	O3	Homogenous	within Homogenous	0.7021686351171678
846	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3023	O2	Homogenous	O3	Homogenous	within Homogenous	0.7582700705738603
847	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3031	O2	Homogenous	H1	Heterogenous	among geodiversity	0.7419892691862784
848	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3032	O2	Homogenous	H1	Heterogenous	among geodiversity	0.7093081382835479
849	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3033	O2	Homogenous	H1	Heterogenous	among geodiversity	0.7364495008590906
850	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3034	O2	Homogenous	H1	Heterogenous	among geodiversity	0.7186304387678458
851	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3040	O2	Homogenous	H2	Heterogenous	among geodiversity	0.7440971474577406
852	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3041	O2	Homogenous	H2	Heterogenous	among geodiversity	0.7339662505707714
853	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3042	O2	Homogenous	H2	Heterogenous	among geodiversity	0.7430881916175427
854	unweighted	ITS1	Shrub	ITS-AS3011	ITS-AS3044	O2	Homogenous	H2	Heterogenous	among geodiversity	0.7659693224998984
